dataset,classifier,metric,experimento,experimento_num,valor,author
Automobile,naive_bayes,f1_score,v1,1,0.3161904761904762,eduardo-cavazin
Automobile,naive_bayes,f1_score,v2,2,0.3267142214510635,eduardo-cavazin
Automobile,naive_bayes,f1_score,v3,3,0.5336363636363637,eduardo-cavazin
Automobile,naive_bayes,f1_score,v4,4,0.3914285714285714,eduardo-cavazin
Automobile,naive_bayes,f1_score,v5,5,0.3169172932330826,eduardo-cavazin
Automobile,naive_bayes,f1_score,v6,6,0.3782558021688456,eduardo-cavazin
Automobile,naive_bayes,f1_score,v7,7,0.4982857142857142,eduardo-cavazin
Automobile,naive_bayes,f1_score,v8,8,0.4596425796425796,eduardo-cavazin
Automobile,naive_bayes,f1_score,v9,9,0.5422077922077922,eduardo-cavazin
Automobile,naive_bayes,f1_score,v10,10,0.3356060606060606,eduardo-cavazin
Automobile,naive_bayes,f1_score,v11,11,0.3428571428571428,eduardo-cavazin
Automobile,naive_bayes,f1_score,v12,12,0.4945209176788124,eduardo-cavazin
Automobile,naive_bayes,f1_score,v13,13,0.4676190476190475,eduardo-cavazin
Automobile,naive_bayes,f1_score,v14,14,0.4557142857142857,eduardo-cavazin
Automobile,naive_bayes,f1_score,v15,15,0.5022644022644023,eduardo-cavazin
Automobile,naive_bayes,f1_score,v16,16,0.3466666666666666,eduardo-cavazin
Automobile,naive_bayes,f1_score,v17,17,0.4705882352941176,eduardo-cavazin
Automobile,naive_bayes,f1_score,v18,18,0.4056364687943635,eduardo-cavazin
Automobile,naive_bayes,f1_score,v19,19,0.3309283309283309,eduardo-cavazin
Automobile,naive_bayes,f1_score,v20,20,0.5387362637362637,eduardo-cavazin
Car Evaluation,naive_bayes,f1_score,v1,1,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v2,2,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v3,3,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v4,4,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v5,5,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v6,6,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v7,7,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v8,8,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v9,9,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v10,10,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v11,11,0.6301369863013699,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v12,12,0.6301369863013699,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v13,13,0.6301369863013699,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v14,14,0.6301369863013699,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v15,15,0.6301369863013699,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v16,16,0.7435897435897436,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v17,17,0.7435897435897436,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v18,18,0.7435897435897436,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v19,19,0.7435897435897436,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v20,20,0.7435897435897436,vitor-oliveira
Mushroom,naive_bayes,f1_score,v1,1,0.6693262411347518,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v2,2,0.6693262411347518,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v3,3,0.6693262411347517,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v4,4,0.6693262411347518,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v5,5,0.6693262411347518,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v6,6,0.6586879432624113,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v7,7,0.6586879432624113,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v8,8,0.6586879432624113,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v9,9,0.6586879432624113,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v10,10,0.6586879432624113,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v11,11,0.6613475177304965,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v12,12,0.6613475177304965,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v13,13,0.6613475177304965,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v14,14,0.6613475177304965,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v15,15,0.6613475177304965,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v16,16,0.6586879432624113,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v17,17,0.6586879432624113,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v18,18,0.6586879432624113,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v19,19,0.6586879432624113,renato-augusto-v2
Mushroom,naive_bayes,f1_score,v20,20,0.6586879432624113,renato-augusto-v2
Rice,naive_bayes,f1_score,v1,1,0.9665831244778612,rafael-scarpelli
Rice,naive_bayes,f1_score,v2,2,0.9665831244778612,rafael-scarpelli
Rice,naive_bayes,f1_score,v3,3,0.9665831244778612,rafael-scarpelli
Rice,naive_bayes,f1_score,v4,4,0.9665831244778612,rafael-scarpelli
Rice,naive_bayes,f1_score,v5,5,1.0,rafael-scarpelli
Rice,naive_bayes,f1_score,v6,6,0.899749373433584,rafael-scarpelli
Rice,naive_bayes,f1_score,v7,7,0.9326599326599326,rafael-scarpelli
Rice,naive_bayes,f1_score,v8,8,0.8976982097186701,rafael-scarpelli
Rice,naive_bayes,f1_score,v9,9,0.899749373433584,rafael-scarpelli
Rice,naive_bayes,f1_score,v10,10,1.0,rafael-scarpelli
Rice,naive_bayes,f1_score,v11,11,0.899749373433584,rafael-scarpelli
Rice,naive_bayes,f1_score,v12,12,0.899749373433584,rafael-scarpelli
Rice,naive_bayes,f1_score,v13,13,0.8976982097186701,rafael-scarpelli
Rice,naive_bayes,f1_score,v14,14,1.0,rafael-scarpelli
Rice,naive_bayes,f1_score,v15,15,0.8653198653198654,rafael-scarpelli
Rice,naive_bayes,f1_score,v16,16,0.9665831244778612,rafael-scarpelli
Rice,naive_bayes,f1_score,v17,17,0.9326599326599326,rafael-scarpelli
Rice,naive_bayes,f1_score,v18,18,0.9326599326599326,rafael-scarpelli
Rice,naive_bayes,f1_score,v19,19,1.0,rafael-scarpelli
Rice,naive_bayes,f1_score,v20,20,0.9665831244778612,rafael-scarpelli
accelerator-mobile,naive_bayes,f1_score,v1,1,0.496,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v2,2,0.495,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v3,3,0.495,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v4,4,0.62,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v5,5,0.495,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v6,6,0.496,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v7,7,0.652,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v8,8,0.495,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v9,9,0.496,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v10,10,0.496,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v11,11,0.497,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v12,12,0.495,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v13,13,0.496,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v14,14,0.495,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v15,15,0.497,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v16,16,0.495,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v17,17,0.496,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v18,18,0.495,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v19,19,0.497,gregory--soares
accelerator-mobile,naive_bayes,f1_score,v20,20,0.495,gregory--soares
agaricus-lepiota,naive_bayes,f1_score,v1,1,0.6059167463140986,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v2,2,0.5840070672050197,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v3,3,0.5692927292234051,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v4,4,0.6038739528214526,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v5,5,0.6309383588535532,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v6,6,0.5978903243540407,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v7,7,0.6058629587155964,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v8,8,0.6325531441398728,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v9,9,0.5792390493445594,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v10,10,0.5815917440282923,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v11,11,0.6214415657056591,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v12,12,0.5878574931424907,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v13,13,0.587466829965299,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v14,14,0.5833584365403346,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v15,15,0.6037917900973339,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v16,16,0.5843160377358491,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v17,17,0.5903804671132608,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v18,18,0.5871385360608644,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v19,19,0.5870359140219662,vitor--garcia
agaricus-lepiota,naive_bayes,f1_score,v20,20,0.6395937367752856,vitor--garcia
bank,naive_bayes,f1_score,v1,1,0.5843560336599342,rafael-leonardo
bank,naive_bayes,f1_score,v1,1,0.6294320923257481,ana--beatriz
bank,naive_bayes,f1_score,v2,2,0.6926691902507089,rafael-leonardo
bank,naive_bayes,f1_score,v2,2,0.6178300865800865,ana--beatriz
bank,naive_bayes,f1_score,v3,3,0.7919299937701778,rafael-leonardo
bank,naive_bayes,f1_score,v3,3,0.6541804382421349,ana--beatriz
bank,naive_bayes,f1_score,v4,4,0.7181560141314829,rafael-leonardo
bank,naive_bayes,f1_score,v4,4,0.6318495839221228,ana--beatriz
bank,naive_bayes,f1_score,v5,5,0.591715622573552,rafael-leonardo
bank,naive_bayes,f1_score,v5,5,0.660575719649562,ana--beatriz
bank,naive_bayes,f1_score,v6,6,0.758194685714284,rafael-leonardo
bank,naive_bayes,f1_score,v6,6,0.6477937954664831,ana--beatriz
bank,naive_bayes,f1_score,v7,7,0.6565673576674543,rafael-leonardo
bank,naive_bayes,f1_score,v7,7,0.645399088339127,ana--beatriz
bank,naive_bayes,f1_score,v8,8,0.6221967743294615,rafael-leonardo
bank,naive_bayes,f1_score,v8,8,0.6473736705410663,ana--beatriz
bank,naive_bayes,f1_score,v9,9,0.5216817804665652,rafael-leonardo
bank,naive_bayes,f1_score,v9,9,0.6484036796536796,ana--beatriz
bank,naive_bayes,f1_score,v10,10,0.6209737674474347,rafael-leonardo
bank,naive_bayes,f1_score,v10,10,0.6198732048130418,ana--beatriz
bank,naive_bayes,f1_score,v11,11,0.5169524574124115,rafael-leonardo
bank,naive_bayes,f1_score,v11,11,0.6115024766097964,ana--beatriz
bank,naive_bayes,f1_score,v12,12,0.5812323963738519,rafael-leonardo
bank,naive_bayes,f1_score,v12,12,0.66726599178598,ana--beatriz
bank,naive_bayes,f1_score,v13,13,0.6456748135670844,rafael-leonardo
bank,naive_bayes,f1_score,v13,13,0.6308470290771175,ana--beatriz
bank,naive_bayes,f1_score,v14,14,0.741431999977946,rafael-leonardo
bank,naive_bayes,f1_score,v14,14,0.6818460031827641,ana--beatriz
bank,naive_bayes,f1_score,v15,15,0.7281979779264149,rafael-leonardo
bank,naive_bayes,f1_score,v15,15,0.5706901426622416,ana--beatriz
bank,naive_bayes,f1_score,v16,16,0.79394034628011,rafael-leonardo
bank,naive_bayes,f1_score,v16,16,0.6115717186943869,ana--beatriz
bank,naive_bayes,f1_score,v17,17,0.6645327731330738,rafael-leonardo
bank,naive_bayes,f1_score,v17,17,0.6674432863274065,ana--beatriz
bank,naive_bayes,f1_score,v18,18,0.7592309299460753,rafael-leonardo
bank,naive_bayes,f1_score,v18,18,0.6872643712990669,ana--beatriz
bank,naive_bayes,f1_score,v19,19,0.6411967876765267,rafael-leonardo
bank,naive_bayes,f1_score,v19,19,0.6083220927856121,ana--beatriz
bank,naive_bayes,f1_score,v20,20,0.52180965021459,rafael-leonardo
bank,naive_bayes,f1_score,v20,20,0.6196462953520189,ana--beatriz
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v1,1,0.9503432111166916,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v2,2,0.9573446961202065,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v3,3,0.9645308650833512,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v4,4,0.964516842745727,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v5,5,0.9644110856641084,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v6,6,0.9715631307468042,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v7,7,0.9575238095238096,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v8,8,0.9503432111166916,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v9,9,0.9716677682308876,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v10,10,0.9499813049509606,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v11,11,0.9506666666666668,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v12,12,0.985781565373402,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v13,13,0.9433650793650794,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v14,14,0.9787185190500108,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v15,15,0.9424460431654677,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v16,16,0.9787101056474362,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v17,17,0.9576810499480692,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v18,18,0.9501211199369052,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v19,19,0.9787185190500108,mateus--raskoski
breast-cancer-wisconsin.csv,naive_bayes,f1_score,v20,20,0.9429504486298602,mateus--raskoski
car.csv,naive_bayes,f1_score,v1,1,0.6955683118924367,romulo-jordao
car.csv,naive_bayes,f1_score,v2,2,0.7214130661954704,romulo-jordao
car.csv,naive_bayes,f1_score,v3,3,0.7693750773078984,romulo-jordao
car.csv,naive_bayes,f1_score,v4,4,0.7383986928104576,romulo-jordao
car.csv,naive_bayes,f1_score,v5,5,0.7734161079233636,romulo-jordao
car.csv,naive_bayes,f1_score,v6,6,0.7414534600389864,romulo-jordao
car.csv,naive_bayes,f1_score,v7,7,0.694867274681219,romulo-jordao
car.csv,naive_bayes,f1_score,v8,8,0.7528569688109162,romulo-jordao
car.csv,naive_bayes,f1_score,v9,9,0.7745768283423152,romulo-jordao
car.csv,naive_bayes,f1_score,v10,10,0.7308239024842291,romulo-jordao
car.csv,naive_bayes,f1_score,v11,11,0.7175007879272641,romulo-jordao
car.csv,naive_bayes,f1_score,v12,12,0.7150118783787169,romulo-jordao
car.csv,naive_bayes,f1_score,v13,13,0.7413763701215861,romulo-jordao
car.csv,naive_bayes,f1_score,v14,14,0.7648417087374342,romulo-jordao
car.csv,naive_bayes,f1_score,v15,15,0.7583717357910906,romulo-jordao
car.csv,naive_bayes,f1_score,v16,16,0.7449090655995534,romulo-jordao
car.csv,naive_bayes,f1_score,v17,17,0.7197541657508263,romulo-jordao
car.csv,naive_bayes,f1_score,v18,18,0.7036815087804622,romulo-jordao
car.csv,naive_bayes,f1_score,v19,19,0.7778633004926109,romulo-jordao
car.csv,naive_bayes,f1_score,v20,20,0.7550512492197672,romulo-jordao
data.csv,naive_bayes,f1_score,v1,1,0.5759757354946173,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v2,2,0.5824775353016688,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v3,3,0.5305674717672684,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v4,4,0.5750612074678184,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v5,5,0.5064840570007626,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v6,6,0.5387386824969826,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v7,7,0.5546750916039956,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v8,8,0.569884516093147,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v9,9,0.5501327106874266,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v10,10,0.5648377826279701,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v11,11,0.550433074708437,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v12,12,0.5379115379115379,luiz-miguel-silva
data.csv,naive_bayes,f1_score,v13,13,0.5455736029571646,luiz-miguel-silva
